DICIONARIO DE CAMPOS
Nome amigavel dos campos tecnicos extraidos (dicionario geral, nao restrito a uma distribuidora).
Base inicial: cabecalhos do CSV em DADOS BRUTOS\PB_DISTRIBUIDORA\NOME (arquivo ET, ja publicado
com nomes amigaveis), mapeamento posicional (69 colunas, mesma ordem em ET, EP, CODIGO/ET e CODIGO/EP).

campo_tecnico;nome_amigavel
FATOR_MULTIPLICADOR_SUGERIDO;Fator Sugerido

# Novos campos - 2026-07-15 (Estagio 4 - hierarquia de datas e data original do XML)
DATA_ELEITA;Data Eleita (Hunter)
ANO_ELEITO;Ano Eleito
DATA_ORIGINAL;Data Emissao (Original)
ANO_ORIGINAL;Ano Original
DATA_ELEITA_ORIGEM;Origem da Data

# Novos campos - 2026-07-16 (Estagio 1 - motivo de segregacao no painel SEGREGADOS)
MOTIVO_SEGREGACAO;Motivo da Segregacao

# Novos campos - 2026-07-18 (Estagio 7.1 - Descricao Relevante, tabela produto_alvo)
COD_ITEM;Cod. Produto
DESCR_ALVO;Descricao Relevante

# Novos campos - 2026-07-18 (Estagio 7.2 - Cruzamento por Valor, tabela cruzamento_valor)
ANO;Ano
EI;EI (R$)
COMPRAS;Compras (R$)
TOTAL_DEBITO;Total Debito (R$)
VENDAS;Vendas (R$)
EF;EF (R$)
TOTAL_CREDITO;Total Credito (R$)
DIVERGENCIA;Divergencia (R$)

# Novos campos - 2026-07-19 (Estagio 7.2 - indicadores de risco: Infracao, % Diverg)
INFRACAO;Infracao
PCT_DIVERGENCIA;% Diverg

# Novos campos - 2026-07-22 (painel 7.3.2 - Grupo de Produto Alvo/Fiscalizacao)
STATUS;Status
TS;Data da Selecao
OBSERVACAO;Observacao

# Novos campos - 2026-07-23 (Estagio 8 - Resumo de Entradas)
codproddecl;Cod. Produto Declaracao
desc_xml;Descricao XML
descrição_decl;Descricao Declaracao
idunico;ID Unico
qtde_ocorrencias;Qtde. Ocorrencias

# Novos campos - 2026-07-23 (Botao 9 - Cruzamento, Criterio 1: codigo + similaridade de descricao)
SIMILARIDADE_DESCRICAO;Similaridade Descricao (%)
